id,antecedent,consequent,support,confidence,lift,interpretation
ar_1,"Age:18-25, Age:36-50",Road:Rural,0.0569,0.3381,1.57,"When Age:18-25, Age:36-50 is observed, Road:Rural is moderately likely (lift=1.57)"
ar_2,"Severity:Critical, Severity:Low",Age:18-25,0.0569,0.5243,1.57,"When Severity:Critical, Severity:Low is observed, Age:18-25 is moderately likely (lift=1.57)"
ar_3,"Age:18-25, Age:51+",Severity:Critical,0.0768,0.3859,1.56,"When Age:18-25, Age:51+ is observed, Severity:Critical is moderately likely (lift=1.56)"
ar_4,Severity:Critical,"Age:18-25, Age:51+",0.0768,0.3097,1.56,"When Severity:Critical is observed, Age:18-25, Age:51+ is moderately likely (lift=1.56)"
ar_5,"Age:18-25, Signal Jumping",Severity:Critical,0.0525,0.3849,1.55,"When Age:18-25, Signal Jumping is observed, Severity:Critical is moderately likely (lift=1.55)"
ar_6,"Overspeeding, Signal Jumping",Vehicle:Truck,0.0613,0.3935,1.54,"When Overspeeding, Signal Jumping is observed, Vehicle:Truck is moderately likely (lift=1.54)"
ar_7,"Time:Evening, Time:Morning",Wrong Side Driving,0.0577,0.3613,1.54,"When Time:Evening, Time:Morning is observed, Wrong Side Driving is moderately likely (lift=1.54)"
ar_8,Triple Riding,"Severity:High, Severity:Low",0.0536,0.3526,1.53,"When Triple Riding is observed, Severity:High, Severity:Low is moderately likely (lift=1.53)"
ar_9,"Overspeeding, Signal Jumping",Road:Market,0.0591,0.3794,1.53,"When Overspeeding, Signal Jumping is observed, Road:Market is moderately likely (lift=1.53)"
ar_10,"Severity:Critical, Time:Evening",Age:18-25,0.0527,0.5106,1.53,"When Severity:Critical, Time:Evening is observed, Age:18-25 is moderately likely (lift=1.53)"
ar_11,"Overspeeding, Signal Jumping",Severity:Critical,0.0586,0.3766,1.52,"When Overspeeding, Signal Jumping is observed, Severity:Critical is moderately likely (lift=1.52)"
ar_12,"Severity:Critical, Severity:Medium",Vehicle:Truck,0.0602,0.3881,1.52,"When Severity:Critical, Severity:Medium is observed, Vehicle:Truck is moderately likely (lift=1.52)"
ar_13,"Age:18-25, Overspeeding",Severity:Critical,0.0641,0.3739,1.51,"When Age:18-25, Overspeeding is observed, Severity:Critical is moderately likely (lift=1.51)"
ar_14,"Time:Afternoon, Time:Morning",Severity:Critical,0.0709,0.3734,1.51,"When Time:Afternoon, Time:Morning is observed, Severity:Critical is moderately likely (lift=1.51)"
ar_15,"Road:Residential, Severity:Critical",Age:18-25,0.0648,0.5026,1.51,"When Road:Residential, Severity:Critical is observed, Age:18-25 is moderately likely (lift=1.51)"
ar_16,"Road:Market, Road:Residential",Signal Jumping,0.0533,0.5341,1.5,"When Road:Market, Road:Residential is observed, Signal Jumping is moderately likely (lift=1.50)"
ar_17,"No Helmet, Overspeeding",Vehicle:Truck,0.0529,0.3838,1.5,"When No Helmet, Overspeeding is observed, Vehicle:Truck is moderately likely (lift=1.50)"
ar_18,"Time:Afternoon, Time:Morning",Road:Rural,0.0613,0.3225,1.5,"When Time:Afternoon, Time:Morning is observed, Road:Rural is slightly likely (lift=1.50)"
ar_19,Vehicle:Bus,"Age:36-50, No Helmet",0.0518,0.3077,1.5,"When Vehicle:Bus is observed, Age:36-50, No Helmet is slightly likely (lift=1.50)"
ar_20,"Age:18-25, Age:36-50",Severity:Critical,0.0623,0.3708,1.49,"When Age:18-25, Age:36-50 is observed, Severity:Critical is slightly likely (lift=1.49)"
