violation_id,violation_type,fine_amount,severity,accident_involved,average_speed,violation_date,violation_time,hour,day_name,month,year,time_period,is_weekend,driver_id,driver_age,age_group,driver_gender,license_type,previous_violations,offender_type,vehicle_id,vehicle_type,vehicle_brand,vehicle_age,fuel_type,city_name,state_name,area_name,road_type,latitude,longitude,risk_zone
V000001,Illegal Parking,433.64,High,False,26.5,2024-10-11,14:40:00,14,Friday,10,2024,Afternoon,False,D02006,42,36-50,Male,MCWOG,2,Repeat,VH01339,Auto,TVS,2,Diesel,Delhi,Delhi,India Gate Area,Arterial,28.612245204237023,77.22439895653568,High
V000002,Wrong Side Driving,322.47,High,False,45.8,2024-02-27,07:52:00,7,Tuesday,2,2024,Morning,False,D03759,67,51+,Male,MCWG,0,First-time,VH01171,Truck,Mahindra,10,CNG,Ahmedabad,Gujarat,Ahmedabad,Rural,19.995297603329963,77.99493255015388,High
V000003,Signal Jumping,754.76,High,True,6.8,2025-01-05,07:08:00,7,Sunday,1,2025,Morning,True,D03153,43,36-50,Male,No License,0,First-time,VH03127,Car,Mahindra,5,CNG,Jaipur,Rajasthan,Jaipur,Market,20.00191776856722,77.99936099775569,High
V000004,Using Mobile,1461.44,High,False,18.3,2025-07-03,08:49:00,8,Thursday,7,2025,Morning,False,D00872,61,51+,Male,MCWOG,1,Repeat,VH07132,Bike,KTM,8,Diesel,Bengaluru,Karnataka,Basavanagudi,Residential,12.952506003871328,77.55683338696345,High
V000005,Overspeeding,1324.16,Low,False,5.4,2025-06-27,00:38:00,0,Friday,6,2025,Night,False,D00646,67,51+,Female,LMV,4,Habitual,VH00702,Bike,Bajaj,7,Diesel,Jaipur,Rajasthan,Jaipur,Market,20.00463815189689,78.0063204650684,High
V000006,Drunk Driving,4786.74,Low,False,50.2,2025-09-13,13:13:00,13,Saturday,9,2025,Afternoon,True,D01841,51,51+,Male,LMV-NT,2,Repeat,VH00525,SUV,Toyota,11,CNG,Mumbai,Maharashtra,Lower Parel,Arterial,19.01376171124295,72.85176617436913,Low
V000007,Overspeeding,1514.16,Low,False,31.1,2024-02-02,10:04:00,10,Friday,2,2024,Morning,False,D01560,22,18-25,Male,MCWG,1,Repeat,VH00773,Truck,Mahindra,15,CNG,Lucknow,Uttar Pradesh,Lucknow,Arterial,19.991938616284575,77.99862102364813,Medium
V000008,Using Mobile,1592.32,High,False,39.0,2024-04-10,01:25:00,1,Wednesday,4,2024,Night,False,D03790,59,51+,Male,MCWG,0,First-time,VH02047,Bike,TVS,14,CNG,Chennai,Tamil Nadu,Chennai,Residential,20.007489719081413,77.99150769776749,High
V000009,Overspeeding,1485.64,High,False,62.8,2024-08-30,05:26:00,5,Friday,8,2024,Night,False,D03728,23,18-25,Female,LMV-NT,0,First-time,VH02337,SUV,Toyota,0,EV,Jaipur,Rajasthan,Jaipur,Highway,19.998460149719804,78.0091463528172,High
V000010,No Seatbelt,248.77,Medium,False,45.7,2025-08-16,23:34:00,23,Saturday,8,2025,Night,True,D00562,21,18-25,Female,LMV,1,Repeat,VH04875,Bike,TVS,5,Petrol,Jaipur,Rajasthan,Jaipur,Rural,19.991359217267515,78.0072363840394,Medium
