id,area,city,cluster,riskLevel,riskScore,totalViolations,accidentCount,lat,lon
cl_0,India Gate Area,Delhi,0,Low,0.0,0,0,28.612245204237023,77.22439895653568
cl_1,Ahmedabad,Ahmedabad,0,Low,0.0,0,0,19.995297603329963,77.99493255015388
cl_2,Jaipur,Jaipur,0,Low,0.0,0,0,20.00191776856722,77.99936099775569
cl_3,Basavanagudi,Bengaluru,0,Low,0.0,0,0,12.952506003871328,77.55683338696345
cl_4,Jaipur,Jaipur,0,Low,0.0,0,0,20.00463815189689,78.0063204650684
cl_5,Lower Parel,Mumbai,1,Medium,0.0,0,0,19.01376171124295,72.85176617436913
cl_6,Lucknow,Lucknow,0,Low,0.0,0,0,19.99193861628457,77.99862102364813
cl_7,Chennai,Chennai,0,Low,0.0,0,0,20.007489719081413,77.99150769776749
cl_8,Jaipur,Jaipur,0,Low,0.0,0,0,19.998460149719804,78.0091463528172
cl_9,Jaipur,Jaipur,0,Low,0.0,0,0,19.991359217267515,78.0072363840394
cl_10,Wakad,Pune,2,High,0.0,0,0,18.57632354392544,73.81503728984829
cl_11,Pratap Nagar,Nagpur,0,Low,0.0,0,0,21.13835726407425,79.0510920456498
cl_12,Aundh,Pune,2,High,0.0,0,0,18.554533604479445,73.81107091378175
cl_13,Goregaon,Mumbai,2,High,0.0,0,0,19.128661760210413,72.89944392530035
cl_14,Kdk Road,Nagpur,0,Low,0.0,0,0,21.19861631772097,79.06604470277874
cl_15,India Gate Area,Delhi,0,Low,0.0,0,0,28.604388415093258,77.23446653274881
cl_16,Ahmedabad,Ahmedabad,0,Low,0.0,0,0,19.99509445012277,78.00417570567669
cl_17,Jaipur,Jaipur,1,Medium,0.0,0,0,20.003944168283887,78.00108824955333
cl_18,Pitampura,Delhi,1,Medium,0.0,0,0,28.703463723718187,77.11002361651657
cl_19,Bhopal,Bhopal,1,Medium,0.0,0,0,19.998288820219955,78.00259530761475
cl_20,Pitampura,Delhi,0,Low,0.0,0,0,28.70590904636939,77.11100079216887
cl_21,Kolkata,Kolkata,0,Low,0.0,0,0,19.995714563017263,77.99543430214165
cl_22,Jaipur,Jaipur,0,Low,0.0,0,0,19.999539594651147,78.00885483314867
cl_23,Manyata Tech Park,Bengaluru,0,Low,0.0,0,0,13.02068247259065,77.63813857725174
cl_24,Lucknow,Lucknow,0,Low,0.0,0,0,20.004980485221655,77.99104171216487
cl_25,Noida Expressway,Delhi,0,Low,0.0,0,0,28.53714494987782,77.3959585130391
cl_26,Aundh,Pune,2,High,0.0,0,0,18.551421101301347,73.8306768870303
cl_27,Mehdipatnam,Hyderabad,0,Low,0.0,0,0,17.346163984376133,78.42076345812897
cl_28,Kolkata,Kolkata,0,Low,0.0,0,0,20.00595664713656,77.99680677686328
cl_29,Bhopal,Bhopal,0,Low,0.0,0,0,20.003279200431937,77.99738040901322
cl_30,Jaipur,Jaipur,0,Low,0.0,0,0,20.001791738119216,78.00520415790746
cl_31,Koramangala,Bengaluru,0,Low,0.0,0,0,12.93380937596272,77.6176872734078
cl_32,Electronic City,Bengaluru,0,Low,0.0,0,0,12.890451450702605,77.58901028929778
cl_33,Malleshwaram,Bengaluru,0,Low,0.0,0,0,13.00582518578062,77.57462952469112
cl_34,Electronic City,Bengaluru,0,Low,0.0,0,0,12.894979154441392,77.59138414098639
cl_35,Kolkata,Kolkata,0,Low,0.0,0,0,20.00901572555613,78.00999144833754
cl_36,Malleshwaram,Bengaluru,0,Low,0.0,0,0,13.003216497053176,77.57823290179576
cl_37,Manyata Tech Park,Bengaluru,0,Low,0.0,0,0,13.025128863081113,77.6325081748429
cl_38,India Gate Area,Delhi,0,Low,0.0,0,0,28.621941214847187,77.23195419377568
cl_39,Kolkata,Kolkata,0,Low,0.0,0,0,20.00641098946371,77.99565677966565
cl_40,Lucknow,Lucknow,0,Low,0.0,0,0,19.99636352654468,77.99945952500481
cl_41,Chennai,Chennai,0,Low,0.0,0,0,19.999389812019693,78.00938407261148
cl_42,Lucknow,Lucknow,0,Low,0.0,0,0,20.00956675456441,78.00520739385989
cl_43,Kharadi,Pune,2,High,0.0,0,0,18.54366269159925,73.88995334504736
cl_44,Marine Drive,Mumbai,2,High,0.0,0,0,18.959987471310004,72.8270667091732
cl_45,Pitampura,Delhi,0,Low,0.0,0,0,28.70673235756012,77.10441782326261
cl_46,Ahmedabad,Ahmedabad,0,Low,0.0,0,0,20.000788155179688,78.00942979162423
cl_47,Jaipur,Jaipur,0,Low,0.0,0,0,19.995289171567048,77.99247177473526
cl_48,Secunderabad,Hyderabad,0,Low,0.0,0,0,17.45816591711591,78.51279554025014
cl_49,Itwari Bazaar,Nagpur,0,Low,0.0,0,0,21.11903043050762,79.0806543257371
