city_surrogate_key,city_key,city_name,state_name,latitude,longitude,population_category,traffic_density_level
1,C001,Mumbai,Maharashtra,19.076,72.8777,Metro,Very High
2,C002,Pune,Maharashtra,18.5204,73.8567,Metro,Very High
3,C003,Nagpur,Maharashtra,21.1458,79.0882,Metro,High
4,C004,Nashik,Maharashtra,19.9975,73.7898,Tier 1,High
5,C005,Aurangabad,Maharashtra,19.8762,75.3433,Tier 2,Medium
6,C006,Solapur,Maharashtra,17.6599,75.9064,Tier 2,Medium
7,C007,Kolhapur,Maharashtra,16.705,74.2433,Tier 2,Medium
8,C008,Delhi,Delhi NCR,28.7041,77.1025,Metro,Very High
9,C009,Noida,Delhi NCR,28.5355,77.391,Tier 1,Very High
10,C010,Gurugram,Delhi NCR,28.4595,77.0266,Tier 1,Very High
11,C011,Faridabad,Delhi NCR,28.4089,77.3178,Tier 1,High
12,C012,Bengaluru,Karnataka,12.9716,77.5946,Metro,Very High
13,C013,Mysuru,Karnataka,12.2958,76.6394,Tier 1,Medium
14,C014,Mangaluru,Karnataka,12.9141,74.856,Tier 2,Medium
15,C015,Hyderabad,Telangana,17.385,78.4867,Metro,Very High
16,C016,Warangal,Telangana,17.9784,79.5941,Tier 2,Medium
17,C017,Chennai,Tamil Nadu,13.0827,80.2707,Metro,Very High
18,C018,Coimbatore,Tamil Nadu,11.0168,76.9558,Tier 1,High
19,C019,Madurai,Tamil Nadu,9.9252,78.1198,Tier 1,Medium
20,C020,Salem,Tamil Nadu,11.6643,78.146,Tier 2,Medium
21,C021,Erode,Tamil Nadu,11.341,77.7172,Tier 2,Medium
22,C022,Tirupati,Tamil Nadu,13.6288,79.4192,Tier 2,Medium
23,C023,Kolkata,West Bengal,22.5726,88.3639,Metro,Very High
24,C024,Ahmedabad,Gujarat,23.0225,72.5714,Metro,Very High
25,C025,Surat,Gujarat,21.1702,72.8311,Metro,Very High
26,C026,Rajkot,Gujarat,22.3039,70.8022,Tier 1,Medium
27,C027,Vadodara,Gujarat,22.3072,73.1812,Tier 1,High
28,C028,Jaipur,Rajasthan,26.9124,75.7873,Metro,High
29,C029,Jodhpur,Rajasthan,26.2389,73.0243,Tier 1,Medium
30,C030,Udaipur,Rajasthan,24.5854,73.7125,Tier 2,Medium
31,C031,Kota,Rajasthan,25.2138,75.8648,Tier 2,Medium
32,C032,Ajmer,Rajasthan,26.4499,74.6399,Tier 2,Medium
33,C033,Lucknow,Uttar Pradesh,26.8467,80.9462,Metro,High
34,C034,Kanpur,Uttar Pradesh,26.4499,80.3319,Tier 1,Very High
35,C035,Varanasi,Uttar Pradesh,25.3176,83.0064,Tier 1,High
36,C036,Prayagraj,Uttar Pradesh,25.4358,81.8463,Tier 1,High
37,C037,Agra,Uttar Pradesh,27.1767,78.0081,Tier 1,High
38,C038,Meerut,Uttar Pradesh,28.9845,77.7064,Tier 1,High
39,C039,Bhopal,Madhya Pradesh,23.2599,77.4126,Metro,High
40,C040,Indore,Madhya Pradesh,22.7196,75.8577,Tier 1,High
41,C041,Jabalpur,Madhya Pradesh,23.1815,79.9864,Tier 2,Medium
42,C042,Gwalior,Madhya Pradesh,26.2183,78.1828,Tier 2,Medium
43,C043,Patna,Bihar,25.6093,85.1376,Metro,High
44,C044,Ranchi,Jharkhand,23.3441,85.3096,Tier 1,Medium
45,C045,Bhubaneswar,Odisha,20.2961,85.8245,Tier 1,Medium
46,C046,Kochi,Kerala,9.9312,76.2673,Tier 1,High
47,C047,Thiruvananthapuram,Kerala,8.5241,76.9366,Tier 1,Medium
48,C048,Chandigarh,Punjab,30.7333,76.7794,Tier 1,High
49,C049,Ludhiana,Punjab,30.901,75.8573,Tier 1,Medium
50,C050,Amritsar,Punjab,31.634,74.8723,Tier 1,Medium
51,C051,Guwahati,Assam,26.1445,91.7362,Tier 1,Medium
52,C052,Shillong,Meghalaya,25.5788,91.8933,Tier 2,Low
53,C053,Dehradun,Uttarakhand,30.3165,78.0322,Tier 1,Medium
54,C054,Haridwar,Uttarakhand,29.9457,78.1647,Tier 2,Medium
55,C055,Raipur,Chhattisgarh,21.2514,81.6296,Tier 1,Medium
56,C056,Bilaspur,Chhattisgarh,22.0797,82.1391,Tier 2,Low
57,C057,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,Tier 1,High
58,C058,Vijayawada,Andhra Pradesh,16.5062,80.648,Tier 1,Medium
59,C059,Thane,Maharashtra,19.2183,72.9781,Tier 1,Very High
60,C060,Navi Mumbai,Maharashtra,19.033,73.0297,Tier 1,High
61,C061,Amravati,Maharashtra,20.932,77.7523,Tier 2,Medium
62,C062,Sangli,Maharashtra,16.8544,74.5643,Tier 2,Low
63,C063,Jalgaon,Maharashtra,21.0077,75.5625,Tier 2,Low
64,C064,Dhule,Maharashtra,20.9042,74.7749,Tier 2,Low
65,C065,Nanded,Maharashtra,19.1383,77.3207,Tier 2,Low
66,C066,Hubli,Karnataka,15.3647,75.124,Tier 2,Medium
67,C067,Belgaum,Karnataka,15.8523,74.4977,Tier 2,Medium
68,C068,Davangere,Karnataka,14.4644,75.9213,Tier 2,Low
69,C069,Shimoga,Karnataka,13.9299,75.5681,Tier 2,Low
70,C070,Tiruchirappalli,Tamil Nadu,10.7905,78.7047,Tier 1,Medium
71,C071,Tirunelveli,Tamil Nadu,8.7139,77.7567,Tier 2,Low
72,C072,Vellore,Tamil Nadu,12.9165,79.1325,Tier 2,Medium
73,C073,Thanjavur,Tamil Nadu,10.787,79.1378,Tier 2,Low
74,C074,Bhavnagar,Gujarat,21.7645,72.1539,Tier 2,Medium
75,C075,Jamnagar,Gujarat,22.4707,70.0577,Tier 2,Low
76,C076,Gandhinagar,Gujarat,23.2156,72.6369,Tier 2,Medium
77,C077,Junagadh,Gujarat,21.5222,70.4577,Tier 2,Low
78,C078,Bikaner,Rajasthan,28.0229,73.3119,Tier 2,Medium
79,C079,Alwar,Rajasthan,27.553,76.6343,Tier 2,Low
80,C080,Bharatpur,Rajasthan,27.2173,77.4901,Tier 2,Low
81,C081,Agra Rural,Uttar Pradesh,27.25,78.05,Tier 2,Medium
82,C082,Bareilly,Uttar Pradesh,28.367,79.4304,Tier 1,Medium
83,C083,Moradabad,Uttar Pradesh,28.8389,78.7768,Tier 2,Medium
84,C084,Gorakhpur,Uttar Pradesh,26.7606,83.373,Tier 1,Medium
