driver_surrogate_key,driver_key,driver_age,driver_gender,license_type,previous_violations,age_group,offender_type
1,D01743,23,Male,Permanent,0,18-25,First Time
2,D00865,29,Male,Permanent,1,26-35,Repeat
3,D03867,50,Male,Learner,0,46-55,First Time
4,D03696,23,Male,Permanent,5,18-25,Habitual
5,D02114,23,Male,International,2,18-25,Repeat
6,D00832,39,Female,Permanent,0,36-45,First Time
7,D01420,28,Male,Permanent,7,26-35,Habitual
8,D01208,67,Male,Permanent,0,65+,First Time
9,D00622,45,Male,Permanent,1,36-45,Repeat
10,D01282,26,Male,Permanent,0,26-35,First Time
11,D03251,31,Male,International,1,26-35,Repeat
12,D00946,37,Male,No License,2,36-45,Repeat
13,D01316,51,Female,Permanent,1,46-55,Repeat
14,D04732,28,Male,No License,0,26-35,First Time
15,D04762,37,Male,No License,0,36-45,First Time
16,D03343,27,Male,Permanent,2,26-35,Repeat
17,D00087,26,Male,Permanent,2,26-35,Repeat
18,D02659,25,Female,Permanent,0,18-25,First Time
19,D02072,18,Male,Permanent,1,18-25,Repeat
20,D03935,47,Male,Permanent,2,46-55,Repeat
21,D01742,32,Male,Permanent,0,26-35,First Time
22,D03725,30,Male,Permanent,0,26-35,First Time
23,D02247,23,Female,Permanent,0,18-25,First Time
24,D02429,30,Male,No License,1,26-35,Repeat
25,D01544,40,Male,Permanent,0,36-45,First Time
26,D04510,22,Female,Permanent,2,18-25,Repeat
27,D03674,34,Female,Permanent,0,26-35,First Time
28,D01829,26,Female,Permanent,0,26-35,First Time
29,D02004,21,Male,No License,5,18-25,Habitual
30,D01285,24,Male,Permanent,7,18-25,Habitual
31,D00110,64,Male,No License,1,56-65,Repeat
32,D02561,30,Female,Permanent,0,26-35,First Time
33,D01219,42,Male,Permanent,0,36-45,First Time
34,D01635,62,Male,Permanent,3,56-65,Habitual
35,D00972,26,Male,Permanent,1,26-35,Repeat
36,D01012,36,Male,Permanent,2,36-45,Repeat
37,D01034,49,Male,Permanent,1,46-55,Repeat
38,D02919,28,Female,Permanent,0,26-35,First Time
39,D04082,27,Male,Permanent,0,26-35,First Time
40,D04832,57,Female,Permanent,4,56-65,Habitual
41,D00880,19,Male,No License,0,18-25,First Time
42,D00349,30,Female,Permanent,7,26-35,Habitual
43,D02436,30,Male,Permanent,1,26-35,Repeat
44,D03324,56,Male,No License,1,56-65,Repeat
45,D01970,49,Female,Permanent,1,46-55,Repeat
46,D00332,20,Female,Permanent,1,18-25,Repeat
47,D00146,28,Female,Permanent,3,26-35,Habitual
48,D00999,52,Male,Permanent,0,46-55,First Time
49,D00665,64,Male,No License,2,56-65,Repeat
50,D02460,24,Male,Permanent,1,18-25,Repeat
51,D03187,69,Male,International,0,65+,First Time
52,D00662,66,Male,Permanent,1,65+,Repeat
53,D02812,29,Male,Permanent,0,26-35,First Time
54,D00730,20,Male,International,0,18-25,First Time
55,D03245,53,Male,Permanent,0,46-55,First Time
56,D01795,30,Male,Permanent,1,26-35,Repeat
57,D04258,34,Male,Learner,2,26-35,Repeat
58,D03869,30,Male,Permanent,0,26-35,First Time
59,D03586,40,Male,Permanent,1,36-45,Repeat
60,D04481,46,Female,Permanent,1,46-55,Repeat
61,D02374,23,Male,Permanent,0,18-25,First Time
62,D03562,27,Female,Permanent,1,26-35,Repeat
63,D00711,23,Male,Permanent,0,18-25,First Time
64,D02189,38,Male,Learner,1,36-45,Repeat
65,D03689,29,Female,Permanent,1,26-35,Repeat
66,D02623,63,Male,Permanent,0,56-65,First Time
67,D01962,24,Male,Permanent,0,18-25,First Time
68,D03435,18,Female,Permanent,1,18-25,Repeat
69,D01793,28,Male,Permanent,0,26-35,First Time
70,D00256,40,Female,Permanent,0,36-45,First Time
71,D04865,22,Male,Learner,0,18-25,First Time
72,D01375,22,Male,Permanent,1,18-25,Repeat
73,D02668,40,Male,Learner,1,36-45,Repeat
74,D01618,25,Female,Permanent,1,18-25,Repeat
75,D01015,57,Male,No License,1,56-65,Repeat
76,D00973,21,Male,Permanent,0,18-25,First Time
77,D00965,18,Male,Permanent,3,18-25,Habitual
78,D02704,27,Male,Learner,0,26-35,First Time
79,D03280,25,Male,Permanent,0,18-25,First Time
80,D02927,21,Male,Learner,1,18-25,Repeat
81,D04055,22,Male,Learner,0,18-25,First Time
82,D01242,67,Male,Permanent,0,65+,First Time
83,D01161,23,Male,Permanent,7,18-25,Habitual
84,D02224,50,Male,Permanent,0,46-55,First Time
85,D01449,23,Male,International,1,18-25,Repeat
86,D02528,63,Female,Permanent,0,56-65,First Time
87,D01262,33,Male,Permanent,0,26-35,First Time
88,D02900,28,Male,Permanent,0,26-35,First Time
89,D02721,53,Female,Permanent,0,46-55,First Time
90,D02922,40,Male,International,0,36-45,First Time
91,D03516,29,Male,Permanent,7,26-35,Habitual
92,D03998,45,Male,No License,3,36-45,Habitual
93,D02385,40,Male,Permanent,0,36-45,First Time
94,D01297,45,Male,No License,1,36-45,Repeat
95,D01529,38,Female,International,0,36-45,First Time
96,D03558,22,Male,Learner,0,18-25,First Time
97,D04662,38,Male,Permanent,2,36-45,Repeat
98,D00698,32,Male,Permanent,1,26-35,Repeat
99,D04269,66,Male,Permanent,2,65+,Repeat
