location_surrogate_key,location_key,area_name,city_id,city,state,latitude,longitude
1,LOC01380,City Center,C054,Haridwar,Uttarakhand,29.936494,78.158318
2,LOC01356,Viman Nagar,C002,Pune,Maharashtra,18.525791,73.871194
3,LOC01553,Main Road,C045,Bhubaneswar,Odisha,20.311066,85.829452
4,LOC00976,Railway Crossing,C043,Patna,Bihar,25.596463,85.146468
5,LOC01046,Clock Tower Area,C078,Bikaner,Rajasthan,28.03617,73.301302
6,LOC01033,IT Park Area,C046,Kochi,Kerala,9.940985,76.267505
7,LOC02255,Bus Stand Area,C097,Cuttack,Odisha,20.456547,85.890624
8,LOC02061,Kurla,C001,Mumbai,Maharashtra,19.061316,72.878497
9,LOC02402,Station Area,C083,Moradabad,Uttar Pradesh,28.828289,78.778417
10,LOC02200,Market Area,C087,Mathura,Uttar Pradesh,27.491113,77.683126
11,LOC01717,Highway Junction,C038,Meerut,Uttar Pradesh,28.998062,77.696336
12,LOC01598,City Center,C041,Jabalpur,Madhya Pradesh,23.176128,79.981743
13,LOC02504,Clock Tower Area,C110,Guntur,Andhra Pradesh,16.312833,80.423539
14,LOC02669,Clock Tower Area,C061,Amravati,Maharashtra,20.928803,77.75703
15,LOC02288,Railway Crossing,C081,Agra Rural,Uttar Pradesh,27.241676,78.059835
16,LOC00393,Flyover Junction,C099,Kozhikode,Kerala,11.2514,75.785609
17,LOC01453,Ring Road,C079,Alwar,Rajasthan,27.563298,76.633838
18,LOC00946,Flyover Junction,C087,Mathura,Uttar Pradesh,27.477637,77.662087
19,LOC02809,Highway Junction,C019,Madurai,Tamil Nadu,9.934238,78.114163
20,LOC00657,Station Area,C071,Tirunelveli,Tamil Nadu,8.717798,77.742369
21,LOC02135,Main Road,C109,Tirupati,Andhra Pradesh,13.642578,79.409636
22,LOC00826,Industrial Area,C038,Meerut,Uttar Pradesh,28.984401,77.711818
23,LOC01438,Market Area,C064,Dhule,Maharashtra,20.916034,74.784366
24,LOC02206,Station Area,C045,Bhubaneswar,Odisha,20.285883,85.832034
25,LOC01787,Bypass Road,C076,Gandhinagar,Gujarat,23.201585,72.645543
26,LOC02291,New Colony,C055,Raipur,Chhattisgarh,21.23731,81.625213
27,LOC00973,New Colony,C041,Jabalpur,Madhya Pradesh,23.1784,79.973527
28,LOC01491,Ring Road,C058,Vijayawada,Andhra Pradesh,16.503454,80.642114
29,LOC01531,Market Area,C079,Alwar,Rajasthan,27.543573,76.648848
30,LOC01201,Railway Crossing,C082,Bareilly,Uttar Pradesh,28.371361,79.431465
31,LOC00009,Ring Road,C010,Gurugram,Delhi NCR,28.447802,77.015038
32,LOC02389,Industrial Area,C011,Faridabad,Delhi NCR,28.412212,77.328723
33,LOC00325,Main Road,C060,Navi Mumbai,Maharashtra,19.023601,73.028859
34,LOC00698,Old City,C021,Erode,Tamil Nadu,11.337459,77.714479
35,LOC02832,Bus Stand Area,C075,Jamnagar,Gujarat,22.485596,70.054509
36,LOC01132,Bypass Road,C103,Panipat,Haryana,29.398063,76.964915
37,LOC00313,KR Puram,C012,Bengaluru,Karnataka,12.967355,77.608492
38,LOC01897,City Center,C025,Surat,Gujarat,21.162656,72.824853
39,LOC01987,Bus Stand Area,C024,Ahmedabad,Gujarat,23.018899,72.580383
40,LOC01714,Flyover Junction,C072,Vellore,Tamil Nadu,12.918849,79.145969
41,LOC00763,Railway Crossing,C022,Tirupati,Tamil Nadu,13.636977,79.408702
42,LOC02511,Ring Road,C065,Nanded,Maharashtra,19.132118,77.335598
43,LOC00821,City Center,C040,Indore,Madhya Pradesh,22.7231,75.860932
44,LOC02937,Market Area,C023,Kolkata,West Bengal,22.56218,88.367883
45,LOC01509,Highway Junction,C083,Moradabad,Uttar Pradesh,28.843501,78.762858
46,LOC01881,Industrial Area,C070,Tiruchirappalli,Tamil Nadu,10.786675,78.70506
47,LOC01412,City Center,C087,Mathura,Uttar Pradesh,27.48269,77.669814
48,LOC00781,Station Area,C108,Nizamabad,Telangana,18.672551,78.104205
49,LOC01034,Whitefield,C012,Bengaluru,Karnataka,12.974932,77.604204
50,LOC02512,Ring Road,C030,Udaipur,Rajasthan,24.581301,73.726414
51,LOC01064,Market Area,C039,Bhopal,Madhya Pradesh,23.26827,77.422196
52,LOC00805,Station Area,C061,Amravati,Maharashtra,20.939118,77.745018
53,LOC00776,Market Area,C086,Saharanpur,Uttar Pradesh,29.96033,77.536629
54,LOC02082,Flyover Junction,C031,Kota,Rajasthan,25.208097,75.868399
55,LOC00998,Railway Crossing,C046,Kochi,Kerala,9.921701,76.276173
56,LOC02785,Flyover Junction,C056,Bilaspur,Chhattisgarh,22.086014,82.131237
57,LOC02939,Bus Stand Area,C055,Raipur,Chhattisgarh,21.256701,81.63862
58,LOC02678,Industrial Area,C039,Bhopal,Madhya Pradesh,23.256679,77.398357
59,LOC00283,New Colony,C068,Davangere,Karnataka,14.45245,75.930097
60,LOC00596,Bus Stand Area,C064,Dhule,Maharashtra,20.890766,74.770291
61,LOC02688,New Colony,C014,Mangaluru,Karnataka,12.906942,74.847543
62,LOC02083,Highway Junction,C018,Coimbatore,Tamil Nadu,11.028056,76.961719
63,LOC02234,New Colony,C045,Bhubaneswar,Odisha,20.304761,85.829762
64,LOC02753,New Colony,C035,Varanasi,Uttar Pradesh,25.306577,82.99911
65,LOC00860,Old City,C030,Udaipur,Rajasthan,24.589696,73.708231
66,LOC01909,Railway Crossing,C052,Shillong,Meghalaya,25.57769,91.888234
67,LOC02314,Industrial Area,C007,Kolhapur,Maharashtra,16.705681,74.244699
68,LOC01794,New Colony,C027,Vadodara,Gujarat,22.297,73.176883
69,LOC02372,Bypass Road,C005,Aurangabad,Maharashtra,19.872844,75.331792
70,LOC02977,Flyover Junction,C097,Cuttack,Odisha,20.465428,85.888806
71,LOC02015,Hadapsar,C002,Pune,Maharashtra,18.506525,73.862766
72,LOC01164,Bypass Road,C048,Chandigarh,Punjab,30.724248,76.783932
73,LOC01806,City Center,C076,Gandhinagar,Gujarat,23.204053,72.641467
74,LOC00042,City Center,C042,Gwalior,Madhya Pradesh,26.221305,78.196482
75,LOC01726,Station Area,C069,Shimoga,Karnataka,13.927841,75.557714
76,LOC02086,KR Puram,C012,Bengaluru,Karnataka,12.965704,77.591167
77,LOC02289,IT Park Area,C018,Coimbatore,Tamil Nadu,11.012457,76.967615
78,LOC02381,Ring Road,C072,Vellore,Tamil Nadu,12.915383,79.134825
79,LOC02917,Industrial Area,C066,Hubli,Karnataka,15.35241,75.110988
80,LOC01774,IT Park Area,C057,Visakhapatnam,Andhra Pradesh,17.693934,83.212148
81,LOC00424,Market Area,C013,Mysuru,Karnataka,12.3021,76.644438
82,LOC00257,Old City,C034,Kanpur,Uttar Pradesh,26.464801,80.33391
83,LOC02968,Main Road,C048,Chandigarh,Punjab,30.727126,76.77349
84,LOC00654,Highway Junction,C087,Mathura,Uttar Pradesh,27.506868,77.673775
85,LOC01440,Main Road,C046,Kochi,Kerala,9.946136,76.280707
86,LOC02030,Main Road,C006,Solapur,Maharashtra,17.662691,75.904186
87,LOC02754,Bus Stand Area,C013,Mysuru,Karnataka,12.294714,76.653184
88,LOC02821,Bypass Road,C041,Jabalpur,Madhya Pradesh,23.186179,79.996166
89,LOC01047,Flyover Junction,C004,Nashik,Maharashtra,19.984963,73.779429
90,LOC02954,Railway Crossing,C059,Thane,Maharashtra,19.213296,72.987301
91,LOC02377,Bus Stand Area,C086,Saharanpur,Uttar Pradesh,29.963949,77.548035
92,LOC01286,IT Park Area,C055,Raipur,Chhattisgarh,21.249251,81.634795
93,LOC02472,Old City,C047,Thiruvananthapuram,Kerala,8.525576,76.940002
94,LOC02191,Clock Tower Area,C042,Gwalior,Madhya Pradesh,26.209165,78.191113
95,LOC00066,Clock Tower Area,C109,Tirupati,Andhra Pradesh,13.622892,79.433423
96,LOC01571,Ring Road,C109,Tirupati,Andhra Pradesh,13.619745,79.410969
97,LOC01437,Clock Tower Area,C069,Shimoga,Karnataka,13.938819,75.559597
98,LOC02550,New Colony,C051,Guwahati,Assam,26.13822,91.731892
99,LOC02345,Bus Stand Area,C076,Gandhinagar,Gujarat,23.206826,72.64882
100,LOC02151,Station Area,C030,Udaipur,Rajasthan,24.583757,73.719587
101,LOC02133,Powai,C001,Mumbai,Maharashtra,19.073615,72.879137
102,LOC00561,New Colony,C013,Mysuru,Karnataka,12.281215,76.627378
103,LOC02229,New Colony,C086,Saharanpur,Uttar Pradesh,29.964359,77.556933
104,LOC02267,Market Area,C025,Surat,Gujarat,21.181431,72.819835
105,LOC01292,Old City,C038,Meerut,Uttar Pradesh,28.978897,77.697134
106,LOC01915,Clock Tower Area,C078,Bikaner,Rajasthan,28.015287,73.31405
107,LOC01664,Highway Junction,C101,Jalandhar,Punjab,31.315872,75.566052
108,LOC00792,Old City,C065,Nanded,Maharashtra,19.146915,77.33522
109,LOC02238,Bypass Road,C082,Bareilly,Uttar Pradesh,28.364798,79.434509
110,LOC02971,Bus Stand Area,C070,Tiruchirappalli,Tamil Nadu,10.797466,78.712853
111,LOC00671,Bus Stand Area,C032,Ajmer,Rajasthan,26.449807,74.631371
112,LOC00838,Market Area,C048,Chandigarh,Punjab,30.720719,76.785794
113,LOC02802,Clock Tower Area,C081,Agra Rural,Uttar Pradesh,27.262671,78.058452
114,LOC01388,New Colony,C094,Muzaffarpur,Bihar,26.129515,85.405116
115,LOC01623,Flyover Junction,C088,Howrah,West Bengal,22.579698,88.259688
116,LOC02001,Railway Crossing,C070,Tiruchirappalli,Tamil Nadu,10.776718,78.70524
117,LOC01545,IT Park Area,C032,Ajmer,Rajasthan,26.448494,74.648087
118,LOC02737,IT Park Area,C017,Chennai,Tamil Nadu,13.093618,80.261784
119,LOC01639,Railway Crossing,C106,Silchar,Assam,24.819398,92.775595
120,LOC02576,Kurla,C001,Mumbai,Maharashtra,19.084671,72.892066
121,LOC00277,Old City,C083,Moradabad,Uttar Pradesh,28.82883,78.762834
122,LOC02666,Flyover Junction,C097,Cuttack,Odisha,20.470292,85.875217
123,LOC01282,Station Area,C073,Thanjavur,Tamil Nadu,10.792919,79.140885
124,LOC02658,Main Road,C052,Shillong,Meghalaya,25.579943,91.907246
125,LOC02119,Old City,C014,Mangaluru,Karnataka,12.925043,74.861388
126,LOC01381,Old City,C067,Belgaum,Karnataka,15.854281,74.511247
127,LOC00111,IT Park Area,C029,Jodhpur,Rajasthan,26.242576,73.019563
128,LOC02172,Kamptee Road,C003,Nagpur,Maharashtra,21.159579,79.094272
129,LOC02056,Market Area,C099,Kozhikode,Kerala,11.244861,75.794058
130,LOC02263,IT Park Area,C047,Thiruvananthapuram,Kerala,8.521628,76.947136
131,LOC02631,Flyover Junction,C014,Mangaluru,Karnataka,12.903826,74.858431
132,LOC02339,Bypass Road,C043,Patna,Bihar,25.618429,85.147464
133,LOC00948,Industrial Area,C010,Gurugram,Delhi NCR,28.449012,77.022187
134,LOC00667,Railway Crossing,C059,Thane,Maharashtra,19.211216,72.974717
135,LOC01313,Main Road,C083,Moradabad,Uttar Pradesh,28.841586,78.788666
136,LOC00989,Clock Tower Area,C059,Thane,Maharashtra,19.216766,72.965143
137,LOC00199,Bypass Road,C050,Amritsar,Punjab,31.639499,74.870723
138,LOC02217,Ring Road,C099,Kozhikode,Kerala,11.260268,75.773039
139,LOC01084,Flyover Junction,C020,Salem,Tamil Nadu,11.672248,78.14232
140,LOC00790,Bus Stand Area,C026,Rajkot,Gujarat,22.296642,70.801433
141,LOC01238,City Center,C091,Ujjain,Madhya Pradesh,23.187061,75.764093
142,LOC00581,Old City,C098,Rourkela,Odisha,22.259932,84.914917
143,LOC01959,Market Area,C023,Kolkata,West Bengal,22.559592,88.374807
144,LOC00131,New Colony,C066,Hubli,Karnataka,15.370064,75.127822
145,LOC02870,Railway Crossing,C043,Patna,Bihar,25.608115,85.144891
146,LOC01869,Bus Stand Area,C030,Udaipur,Rajasthan,24.57147,73.707267
147,LOC02328,City Center,C022,Tirupati,Tamil Nadu,13.614275,79.42548
148,LOC02210,City Center,C025,Surat,Gujarat,21.181458,72.819547
149,LOC01750,Flyover Junction,C030,Udaipur,Rajasthan,24.585203,73.721911
150,LOC00751,Main Road,C020,Salem,Tamil Nadu,11.671364,78.159775
151,LOC01060,IT Park Area,C094,Muzaffarpur,Bihar,26.126915,85.395341
152,LOC02775,City Center,C040,Indore,Madhya Pradesh,22.707565,75.865395
153,LOC01922,Bus Stand Area,C040,Indore,Madhya Pradesh,22.721655,75.850539
154,LOC00994,Ring Road,C069,Shimoga,Karnataka,13.922681,75.566832
155,LOC00859,Flyover Junction,C026,Rajkot,Gujarat,22.303842,70.788342
156,LOC01411,Highway Junction,C073,Thanjavur,Tamil Nadu,10.789871,79.124031
157,LOC02794,Industrial Area,C075,Jamnagar,Gujarat,22.471223,70.069553
158,LOC00688,Station Area,C070,Tiruchirappalli,Tamil Nadu,10.782208,78.716279
159,LOC00328,Railway Crossing,C046,Kochi,Kerala,9.943882,76.267187
160,LOC00464,IT Park Area,C099,Kozhikode,Kerala,11.269802,75.78623
161,LOC02845,New Colony,C051,Guwahati,Assam,26.150147,91.741079
162,LOC00255,Old City,C019,Madurai,Tamil Nadu,9.928506,78.127796
163,LOC01095,IT Park Area,C075,Jamnagar,Gujarat,22.464074,70.045372
164,LOC01508,Industrial Area,C097,Cuttack,Odisha,20.461184,85.871812
165,LOC00106,City Center,C053,Dehradun,Uttarakhand,30.320027,78.033136
166,LOC02639,Clock Tower Area,C054,Haridwar,Uttarakhand,29.937459,78.151317
167,LOC02916,Railway Crossing,C086,Saharanpur,Uttar Pradesh,29.973588,77.551113
168,LOC02895,Old City,C097,Cuttack,Odisha,20.466413,85.894468
169,LOC02602,Station Area,C028,Jaipur,Rajasthan,26.917839,75.776287
170,LOC00530,New Colony,C055,Raipur,Chhattisgarh,21.26536,81.627871
171,LOC02287,Railway Crossing,C036,Prayagraj,Uttar Pradesh,25.421945,81.860305
172,LOC01432,Ring Road,C010,Gurugram,Delhi NCR,28.449589,77.024739
173,LOC02285,Highway Junction,C042,Gwalior,Madhya Pradesh,26.231789,78.192379
174,LOC01610,Main Road,C092,Sagar,Madhya Pradesh,23.853686,78.72836
175,LOC02804,Market Area,C019,Madurai,Tamil Nadu,9.924562,78.12737
176,LOC02665,New Colony,C058,Vijayawada,Andhra Pradesh,16.510677,80.642517
177,LOC00167,Market Area,C075,Jamnagar,Gujarat,22.461537,70.071012
178,LOC00696,Market Area,C026,Rajkot,Gujarat,22.317869,70.788715
179,LOC02654,Flyover Junction,C038,Meerut,Uttar Pradesh,28.985776,77.701013
180,LOC00818,Old City,C028,Jaipur,Rajasthan,26.915972,75.777959
181,LOC02147,Old City,C018,Coimbatore,Tamil Nadu,11.014414,76.949677
182,LOC01354,IT Park Area,C037,Agra,Uttar Pradesh,27.18476,78.015326
183,LOC00110,City Center,C013,Mysuru,Karnataka,12.295234,76.652636
184,LOC00711,Main Road,C065,Nanded,Maharashtra,19.145109,77.328091
185,LOC01570,City Center,C097,Cuttack,Odisha,20.460906,85.881728
186,LOC00703,Old City,C094,Muzaffarpur,Bihar,26.119108,85.398615
187,LOC01335,Bus Stand Area,C110,Guntur,Andhra Pradesh,16.300971,80.425492
188,LOC00861,New Colony,C033,Lucknow,Uttar Pradesh,26.843616,80.94727
189,LOC02684,New Colony,C089,Durgapur,West Bengal,23.511772,87.301849
190,LOC02563,Industrial Area,C068,Davangere,Karnataka,14.470818,75.916258
191,LOC00759,City Center,C065,Nanded,Maharashtra,19.134429,77.331385
192,LOC00504,Wakad,C002,Pune,Maharashtra,18.532426,73.86299
193,LOC02186,Old City,C024,Ahmedabad,Gujarat,23.007601,72.577327
194,LOC00527,Station Area,C074,Bhavnagar,Gujarat,21.767417,72.157834
195,LOC00722,Flyover Junction,C101,Jalandhar,Punjab,31.33104,75.565025
196,LOC01158,Railway Crossing,C086,Saharanpur,Uttar Pradesh,29.957801,77.537328
197,LOC00468,Clock Tower Area,C045,Bhubaneswar,Odisha,20.287042,85.822846
198,LOC02277,Bypass Road,C066,Hubli,Karnataka,15.353572,75.119507
199,LOC02819,Railway Crossing,C009,Noida,Delhi NCR,28.541074,77.39616
200,LOC01560,Station Area,C024,Ahmedabad,Gujarat,23.010071,72.585531
201,LOC01415,Railway Crossing,C032,Ajmer,Rajasthan,26.439545,74.647099
202,LOC00775,Railway Crossing,C051,Guwahati,Assam,26.140588,91.722044
203,LOC02463,Ring Road,C024,Ahmedabad,Gujarat,23.030711,72.559455
204,LOC00049,Old City,C009,Noida,Delhi NCR,28.530422,77.376257
205,LOC02491,Ring Road,C007,Kolhapur,Maharashtra,16.716718,74.24964
206,LOC02021,Ghatkopar,C001,Mumbai,Maharashtra,19.084746,72.872842
207,LOC01534,Bypass Road,C090,Siliguri,West Bengal,26.734417,88.409832
208,LOC00534,Main Road,C097,Cuttack,Odisha,20.475353,85.897217
209,LOC01134,Industrial Area,C072,Vellore,Tamil Nadu,12.903102,79.131501
210,LOC02816,Hebbal,C012,Bengaluru,Karnataka,12.985743,77.581698
211,LOC01811,Market Area,C104,Ambala,Haryana,30.388146,76.781269
212,LOC01829,Highway Junction,C099,Kozhikode,Kerala,11.264265,75.786305
213,LOC01771,Old City,C056,Bilaspur,Chhattisgarh,22.084152,82.144559
214,LOC00749,IT Park Area,C076,Gandhinagar,Gujarat,23.220353,72.644838
215,LOC02638,Highway Junction,C026,Rajkot,Gujarat,22.304941,70.804676
216,LOC02846,New Colony,C102,Patiala,Punjab,30.328814,76.389971
217,LOC00005,Station Area,C090,Siliguri,West Bengal,26.741869,88.393008
218,LOC02116,City Center,C049,Ludhiana,Punjab,30.908844,75.843668
219,LOC00894,IT Park Area,C035,Varanasi,Uttar Pradesh,25.315466,83.004613
220,LOC02711,Bypass Road,C109,Tirupati,Andhra Pradesh,13.643224,79.421642
221,LOC02914,Highway Junction,C024,Ahmedabad,Gujarat,23.024358,72.557129
222,LOC01096,Connaught Place,C008,Delhi,Delhi NCR,28.714625,77.102122
223,LOC00659,Station Area,C074,Bhavnagar,Gujarat,21.755208,72.141019
224,LOC00023,Highway Junction,C066,Hubli,Karnataka,15.371343,75.130989
225,LOC02368,Bypass Road,C065,Nanded,Maharashtra,19.124991,77.306465
226,LOC01876,Ghatkopar,C001,Mumbai,Maharashtra,19.083991,72.88495
227,LOC02473,KR Puram,C012,Bengaluru,Karnataka,12.958812,77.588252
228,LOC01053,New Colony,C052,Shillong,Meghalaya,25.590834,91.881105
229,LOC00018,Railway Crossing,C100,Thrissur,Kerala,10.513011,76.203437
230,LOC01585,Bypass Road,C049,Ludhiana,Punjab,30.896621,75.84915
231,LOC00244,Industrial Area,C032,Ajmer,Rajasthan,26.43559,74.630858
232,LOC00858,Highway Junction,C090,Siliguri,West Bengal,26.734583,88.394764
233,LOC02703,Flyover Junction,C031,Kota,Rajasthan,25.202452,75.856077
234,LOC01227,Highway Junction,C069,Shimoga,Karnataka,13.940684,75.577308
235,LOC02150,Railway Crossing,C049,Ludhiana,Punjab,30.89905,75.865966
236,LOC02017,Station Area,C055,Raipur,Chhattisgarh,21.261728,81.643923
237,LOC01270,Railway Crossing,C108,Nizamabad,Telangana,18.684865,78.085895
238,LOC01668,IT Park Area,C028,Jaipur,Rajasthan,26.913106,75.801479
239,LOC02093,Flyover Junction,C074,Bhavnagar,Gujarat,21.761998,72.163313
240,LOC00603,Clock Tower Area,C080,Bharatpur,Rajasthan,27.222438,77.498601
241,LOC01674,Clock Tower Area,C071,Tirunelveli,Tamil Nadu,8.715667,77.743377
242,LOC01768,Highway Junction,C106,Silchar,Assam,24.819028,92.771663
243,LOC02662,Market Area,C105,Dibrugarh,Assam,27.445256,94.920406
244,LOC00840,Railway Crossing,C106,Silchar,Assam,24.832975,92.771064
245,LOC02507,Market Area,C045,Bhubaneswar,Odisha,20.287632,85.822024
246,LOC00921,Clock Tower Area,C029,Jodhpur,Rajasthan,26.230007,73.032564
247,LOC02320,IT Park Area,C095,Jamshedpur,Jharkhand,22.790458,86.203138
248,LOC00333,New Colony,C004,Nashik,Maharashtra,20.011002,73.791122
249,LOC00723,Flyover Junction,C010,Gurugram,Delhi NCR,28.44487,77.017275
250,LOC01667,Clock Tower Area,C073,Thanjavur,Tamil Nadu,10.785916,79.149079
251,LOC00043,Bus Stand Area,C007,Kolhapur,Maharashtra,16.691242,74.256431
252,LOC00130,Industrial Area,C017,Chennai,Tamil Nadu,13.088986,80.262009
253,LOC01698,Industrial Area,C023,Kolkata,West Bengal,22.569053,88.372059
254,LOC00156,Bus Stand Area,C021,Erode,Tamil Nadu,11.33294,77.724024
255,LOC01448,IT Park Area,C102,Patiala,Punjab,30.326953,76.398787
256,LOC01518,Station Area,C030,Udaipur,Rajasthan,24.582996,73.719044
257,LOC00417,Clock Tower Area,C061,Amravati,Maharashtra,20.920628,77.740543
258,LOC01067,New Colony,C026,Rajkot,Gujarat,22.301059,70.81286
259,LOC00187,Market Area,C058,Vijayawada,Andhra Pradesh,16.498043,80.64312
260,LOC02544,Old City,C023,Kolkata,West Bengal,22.5774,88.351297
261,LOC02143,Clock Tower Area,C022,Tirupati,Tamil Nadu,13.618324,79.413777
262,LOC02984,Industrial Area,C037,Agra,Uttar Pradesh,27.187307,78.011381
263,LOC00247,Station Area,C042,Gwalior,Madhya Pradesh,26.206903,78.180862
264,LOC02541,Kharadi,C002,Pune,Maharashtra,18.527557,73.855704
265,LOC00558,Ring Road,C101,Jalandhar,Punjab,31.337898,75.584898
266,LOC01358,Railway Crossing,C066,Hubli,Karnataka,15.363335,75.116402
267,LOC01629,Industrial Area,C071,Tirunelveli,Tamil Nadu,8.713704,77.754984
268,LOC02452,Flyover Junction,C049,Ludhiana,Punjab,30.889123,75.862543
269,LOC01153,Bus Stand Area,C018,Coimbatore,Tamil Nadu,11.016139,76.963077
270,LOC01405,Hitech City,C015,Hyderabad,Telangana,17.376651,78.495453
271,LOC01360,IT Park Area,C032,Ajmer,Rajasthan,26.436884,74.639191
272,LOC01798,Ring Road,C011,Faridabad,Delhi NCR,28.421174,77.312746
273,LOC00750,City Center,C042,Gwalior,Madhya Pradesh,26.214638,78.183542
274,LOC02047,Bypass Road,C081,Agra Rural,Uttar Pradesh,27.264014,78.052732
275,LOC01433,Clock Tower Area,C049,Ludhiana,Punjab,30.886256,75.850328
276,LOC02537,Flyover Junction,C004,Nashik,Maharashtra,20.004323,73.785064
277,LOC01697,Station Area,C029,Jodhpur,Rajasthan,26.249972,73.017836
278,LOC01243,New Colony,C099,Kozhikode,Kerala,11.258094,75.786261
279,LOC01442,Highway Junction,C059,Thane,Maharashtra,19.22665,72.988987
280,LOC01178,Highway Junction,C037,Agra,Uttar Pradesh,27.172215,78.019813
281,LOC02789,Saket,C008,Delhi,Delhi NCR,28.716082,77.087575
282,LOC01661,Industrial Area,C041,Jabalpur,Madhya Pradesh,23.191366,79.999148
283,LOC01040,Clock Tower Area,C007,Kolhapur,Maharashtra,16.704659,74.240536
284,LOC01753,Railway Crossing,C098,Rourkela,Odisha,22.265363,84.905169
285,LOC01706,Bypass Road,C040,Indore,Madhya Pradesh,22.725431,75.865296
286,LOC00231,New Colony,C007,Kolhapur,Maharashtra,16.694589,74.251362
287,LOC00219,Clock Tower Area,C007,Kolhapur,Maharashtra,16.71633,74.231908
