vehicle_surrogate_key,vehicle_key,vehicle_type,vehicle_brand,vehicle_age,fuel_type
1,VEH000801,Bike,Suzuki,8,Petrol
2,VEH004861,Bike,Suzuki,19,Petrol
3,VEH000590,Auto Rickshaw,TVS,6,Petrol
4,VEH000894,Bike,Suzuki,17,Petrol
5,VEH003623,Bike,Suzuki,2,Petrol
6,VEH000760,Bike,Honda,2,Petrol
7,VEH004649,Auto Rickshaw,Bajaj,3,Petrol
8,VEH000652,Bike,KTM,6,Petrol
9,VEH003984,Bike,Bajaj,2,Petrol
10,VEH003631,Car,Hyundai,4,Diesel
11,VEH006163,Bike,Hero,7,Electric
12,VEH000530,Car,Toyota,8,Petrol
13,VEH000456,Car,Honda,16,Petrol
14,VEH004231,Car,Hyundai,3,Diesel
15,VEH004945,Bike,Suzuki,18,Petrol
16,VEH003213,Bike,Suzuki,4,Electric
17,VEH001594,Bus,BharatBenz,0,CNG
18,VEH002910,Scooter,Suzuki,9,Electric
19,VEH001268,Scooter,TVS,2,Petrol
20,VEH004415,Scooter,TVS,2,Petrol
21,VEH003373,Bike,TVS,3,Petrol
22,VEH000514,Bike,KTM,8,Petrol
23,VEH004085,Car,Kia,2,Petrol
24,VEH001950,Scooter,Suzuki,2,Petrol
25,VEH006887,Bike,TVS,4,Petrol
26,VEH000544,Bike,KTM,11,Petrol
27,VEH002421,Auto Rickshaw,TVS,5,Petrol
28,VEH002109,Auto Rickshaw,Piaggio,4,CNG
29,VEH000384,Bike,Honda,1,Petrol
30,VEH007261,Scooter,Hero,16,Petrol
31,VEH006966,Car,Mahindra,2,Diesel
32,VEH007382,Car,Tata,5,Petrol
33,VEH005960,Bike,Hero,3,Electric
34,VEH004353,Bike,Royal Enfield,0,Petrol
35,VEH003665,Bike,TVS,3,Petrol
36,VEH000185,Car,Maruti Suzuki,16,Petrol
37,VEH004376,Scooter,Hero,5,Petrol
38,VEH002325,Truck,Eicher,9,Diesel
39,VEH006677,Car,Toyota,3,Petrol
40,VEH004154,Bike,Suzuki,0,Petrol
41,VEH007703,Scooter,Vespa,2,Petrol
42,VEH002066,Bike,Hero,8,Petrol
43,VEH005949,Bike,Yamaha,4,Electric
44,VEH002596,Bike,Yamaha,7,Electric
45,VEH002846,Bike,Royal Enfield,13,Petrol
46,VEH007488,Bike,KTM,7,Electric
47,VEH004975,Auto Rickshaw,TVS,1,Petrol
48,VEH005259,Scooter,TVS,1,Electric
49,VEH003650,Bike,Honda,6,Electric
50,VEH003729,Van,Mahindra,4,Petrol
51,VEH000823,Auto Rickshaw,Piaggio,6,CNG
52,VEH007639,Scooter,TVS,6,Electric
53,VEH005911,Car,Volkswagen,5,Petrol
54,VEH006377,Auto Rickshaw,Piaggio,5,Petrol
55,VEH005012,Auto Rickshaw,TVS,6,CNG
56,VEH005341,Scooter,Honda,8,Petrol
57,VEH001629,Car,Hyundai,2,Diesel
58,VEH004020,Auto Rickshaw,TVS,1,CNG
59,VEH006911,Truck,Ashok Leyland,8,Diesel
60,VEH000562,Truck,Eicher,2,Diesel
61,VEH004896,Bike,Royal Enfield,4,Petrol
62,VEH002144,Scooter,Honda,6,Petrol
63,VEH002110,Car,Honda,6,Electric
64,VEH004313,Scooter,Vespa,0,Electric
65,VEH005941,Car,Honda,4,Petrol
66,VEH000458,Car,Maruti Suzuki,1,Electric
67,VEH002410,Bike,KTM,2,Electric
68,VEH000250,Bike,KTM,10,Petrol
69,VEH003089,Bike,Honda,5,Electric
70,VEH007636,Bike,Honda,4,Petrol
71,VEH001909,Auto Rickshaw,Piaggio,3,CNG
72,VEH000414,Scooter,Hero,9,Petrol
73,VEH000946,Bike,Bajaj,5,Electric
74,VEH002935,Car,Kia,2,Petrol
75,VEH007964,Scooter,Honda,6,Electric
76,VEH003267,Bike,TVS,3,Petrol
77,VEH005422,Bike,Suzuki,3,Petrol
78,VEH007641,Car,Kia,9,Petrol
79,VEH005185,Bike,Hero,4,Petrol
80,VEH000525,Auto Rickshaw,Piaggio,10,Petrol
81,VEH003601,Car,Volkswagen,3,Petrol
82,VEH007421,Scooter,Hero,1,Petrol
83,VEH004711,Car,Mahindra,2,Electric
84,VEH003777,Bike,KTM,10,Petrol
85,VEH006352,Bike,TVS,5,Petrol
86,VEH004626,Car,Tata,4,Petrol
87,VEH005138,Car,Mahindra,5,Petrol
88,VEH006275,Scooter,Bajaj,2,Petrol
89,VEH006105,Scooter,Vespa,3,Electric
90,VEH007870,Truck,BharatBenz,1,Diesel
91,VEH004668,Bike,Suzuki,5,Petrol
92,VEH003260,Bike,Yamaha,19,Electric
93,VEH005036,Bike,KTM,0,Electric
94,VEH002835,Car,Maruti Suzuki,5,Diesel
95,VEH002295,Auto Rickshaw,TVS,5,Diesel
96,VEH005472,Bus,Tata,1,Diesel
97,VEH007504,Bike,KTM,2,Petrol
98,VEH001125,Bike,KTM,4,Petrol
99,VEH007894,Auto Rickshaw,Bajaj,3,CNG
100,VEH007376,Scooter,Hero,0,Petrol
101,VEH000852,Car,Honda,4,Diesel
102,VEH002336,Bike,Yamaha,15,Petrol
103,VEH001135,Truck,Tata,2,Diesel
104,VEH000743,Scooter,TVS,13,Petrol
105,VEH002985,Bike,Yamaha,10,Petrol
106,VEH005736,Bike,TVS,6,Petrol
107,VEH002951,Scooter,Honda,5,Electric
108,VEH003602,Bike,TVS,3,Petrol
109,VEH004794,Scooter,Vespa,7,Petrol
110,VEH007817,Bus,Tata,8,Diesel
111,VEH004872,Bike,Bajaj,0,Petrol
112,VEH001003,Auto Rickshaw,Bajaj,17,CNG
113,VEH000201,Car,Maruti Suzuki,8,Diesel
114,VEH006282,Car,Honda,3,Petrol
115,VEH001399,Bike,Yamaha,10,Petrol
116,VEH003490,Bike,Hero,14,Petrol
117,VEH000644,Bike,Suzuki,5,Petrol
118,VEH004912,Car,Kia,3,Electric
119,VEH001920,Bike,Suzuki,1,Petrol
120,VEH006532,Bike,KTM,6,Petrol
121,VEH004600,Auto Rickshaw,Piaggio,0,Diesel
122,VEH004696,Truck,BharatBenz,0,CNG
123,VEH002276,Scooter,TVS,7,Petrol
124,VEH005463,Scooter,Suzuki,1,Petrol
125,VEH002498,Auto Rickshaw,TVS,4,CNG
126,VEH006921,Car,Tata,4,Petrol
127,VEH005226,Bike,Hero,5,Petrol
128,VEH004110,Truck,Tata,11,Diesel
129,VEH000148,Auto Rickshaw,TVS,5,Diesel
130,VEH003468,Car,Hyundai,10,Diesel
131,VEH002741,Car,Maruti Suzuki,19,Petrol
132,VEH003485,Bike,KTM,2,Petrol
133,VEH007963,Scooter,Bajaj,0,Electric
134,VEH007450,Bike,Royal Enfield,20,Petrol
135,VEH004075,Scooter,TVS,4,Electric
136,VEH007808,Car,Honda,4,Electric
137,VEH002288,Bike,TVS,16,Petrol
138,VEH001132,Bike,Hero,5,Petrol
139,VEH007693,Car,Volkswagen,4,Diesel
140,VEH005656,Auto Rickshaw,Piaggio,1,Diesel
