violation_id,city_sk,location_sk,driver_sk,vehicle_sk,time_key,violation_date,violation_time,violation_type,fine_amount,severity,accident_involved,road_type,average_speed,weather_condition,lane_affected,department_status,age_group,time_period,offender_type
V20250126000001,54,1,1,1,392,2025-01-26,15:37:14,Signal Jumping,700,Medium,No,National Highway,99,Cloudy,Multiple Lanes,Active,18-25,Mid Day,First Time
V20250212000002,2,2,2,2,409,2025-02-12,20:35:24,No Helmet,800,Medium,No,City Road,45,Clear,Lane 3,Dispatched,26-35,Evening,Repeat
V20251114000003,45,3,3,3,684,2025-11-14,19:15:21,Wrong Parking,400,Low,No,City Road,41,Rainy,Multiple Lanes,Active,46-55,Evening Peak,First Time
V20250407000004,43,4,4,4,463,2025-04-07,19:28:14,Wrong Parking,400,Low,No,State Highway,66,Clear,Shoulder,Active,18-25,Evening Peak,Habitual
V20250410000005,78,5,5,5,466,2025-04-10,19:21:09,Dangerous Driving,2600,High,No,State Highway,53,Clear,Lane 2,Notified,18-25,Evening Peak,Repeat
V20250616000006,46,6,6,6,533,2025-06-16,14:02:03,Drunk Driving,5800,Critical,No,City Road,55,Clear,Lane 3,Under Review,36-45,Mid Day,First Time
V20250721000007,97,7,7,7,568,2025-07-21,07:22:11,No License,3400,High,No,City Road,54,Clear,Multiple Lanes,Active,26-35,Early Morning,Habitual
V20240117000008,1,8,8,8,17,2024-01-17,21:52:03,No Helmet,600,Medium,No,City Road,44,Foggy,Lane 1,Active,65+,Evening,First Time
V20250628000009,83,9,9,9,545,2025-06-28,16:00:59,Overspeeding,1700,Medium,No,City Road,36,Cloudy,Lane 1,Active,36-45,Mid Day,Repeat
V20250716000010,87,10,10,10,563,2025-07-16,03:34:11,No Helmet,700,Medium,No,National Highway,87,Foggy,Lane 1,Active,26-35,Late Night,First Time
V20250730000011,38,11,11,11,577,2025-07-30,21:05:15,No Seatbelt,500,Medium,No,Local Street,19,Cloudy,Lane 2,Dispatched,26-35,Evening,Repeat
V20241203000012,41,12,12,12,338,2024-12-03,18:27:02,Mobile Usage,4100,High,No,National Highway,72,Clear,Multiple Lanes,Active,36-45,Evening Peak,Repeat
V20250420000013,110,13,13,13,476,2025-04-20,14:49:23,Drunk Driving,3400,Critical,No,Expressway,104,Clear,Lane 3,Notified,46-55,Mid Day,Repeat
V20250915000014,61,14,14,14,624,2025-09-15,12:52:20,No Helmet,700,Medium,No,State Highway,72,Rainy,Lane 2,Dispatched,26-35,Mid Day,First Time
V20240111000015,81,15,15,15,11,2024-01-11,12:47:19,Drunk Driving,7800,High,No,City Road,25,Clear,Lane 3,Notified,36-45,Mid Day,First Time
V20241115000016,99,16,16,16,320,2024-11-15,09:03:38,Signal Jumping,600,Medium,No,National Highway,85,Rainy,Lane 1,Under Review,26-35,Morning Peak,Repeat
V20240408000017,79,17,17,17,99,2024-04-08,16:50:05,No Helmet,600,Medium,No,National Highway,93,Clear,Lane 1,Under Review,26-35,Mid Day,Repeat
V20250715000018,87,18,18,18,562,2025-07-15,19:31:40,No Seatbelt,700,Low,No,National Highway,72,Clear,Lane 3,Notified,18-25,Evening Peak,First Time
