violation_id,driver_id,vehicle_id,location_id,city_id,violation_date,violation_time,violation_type,fine_amount,severity,accident_involved,driver_age,driver_gender,license_type,previous_violations,vehicle_type,vehicle_brand,vehicle_age,fuel_type,area_name,city,state,road_type,latitude,longitude,average_speed,weather_condition,lane_affected,department_status
V20250126000001,D01743,VEH000801,LOC01380,C054,2025-01-26,15:37:14,Signal Jumping,700,Medium,No,23,Male,Permanent,0,Bike,Suzuki,8,Petrol,City Center,Haridwar,Uttarakhand,National Highway,29.936494,78.158318,99,Cloudy,Multiple Lanes,Active
V20250212000002,D00865,VEH004861,LOC01356,C002,2025-02-12,20:35:24,No Helmet,800,Medium,No,29,Male,Permanent,1,Bike,Suzuki,19,Petrol,Viman Nagar,Pune,Maharashtra,City Road,18.525791,73.871194,45,Clear,Lane 3,Dispatched
V20251114000003,D03867,VEH000590,LOC01553,C045,2025-11-14,19:15:21,Wrong Parking,400,Low,No,50,Male,Learner,0,Auto Rickshaw,TVS,6,Petrol,Main Road,Bhubaneswar,Odisha,City Road,20.311066,85.829452,41,Rainy,Multiple Lanes,Active
V20250407000004,D03696,VEH000894,LOC00976,C043,2025-04-07,19:28:14,Wrong Parking,400,Low,No,23,Male,Permanent,5,Bike,Suzuki,17,Petrol,Railway Crossing,Patna,Bihar,State Highway,25.596463,85.146468,66,Clear,Shoulder,Active
V20250410000005,D02114,VEH003623,LOC01046,C078,2025-04-10,19:21:09,Dangerous Driving,2600,High,No,23,Male,International,2,Bike,Suzuki,2,Petrol,Clock Tower Area,Bikaner,Rajasthan,State Highway,28.03617,73.301302,53,Clear,Lane 2,Notified
V20250616000006,D00832,VEH000760,LOC01033,C046,2025-06-16,14:02:03,Drunk Driving,5800,Critical,No,39,Female,Permanent,0,Bike,Honda,2,Petrol,IT Park Area,Kochi,Kerala,City Road,9.940985,76.267505,55,Clear,Lane 3,Under Review
V20250721000007,D01420,VEH004649,LOC02255,C097,2025-07-21,07:22:11,No License,3400,High,No,28,Male,Permanent,7,Auto Rickshaw,Bajaj,3,Petrol,Bus Stand Area,Cuttack,Odisha,City Road,20.456547,85.890624,54,Clear,Multiple Lanes,Active
V20240117000008,D01208,VEH000652,LOC02061,C001,2024-01-17,21:52:03,No Helmet,600,Medium,No,67,Male,Permanent,0,Bike,KTM,6,Petrol,Kurla,Mumbai,Maharashtra,City Road,19.061316,72.878497,44,Foggy,Lane 1,Active
V20250628000009,D00622,VEH003984,LOC02402,C083,2025-06-28,16:00:59,Overspeeding,1700,Medium,No,45,Male,Permanent,1,Bike,Bajaj,2,Petrol,Station Area,Moradabad,Uttar Pradesh,City Road,28.828289,78.778417,36,Cloudy,Lane 1,Active
V20250716000010,D01282,VEH003631,LOC02200,C087,2025-07-16,03:34:11,No Helmet,700,Medium,No,26,Male,Permanent,0,Car,Hyundai,4,Diesel,Market Area,Mathura,Uttar Pradesh,National Highway,27.491113,77.683126,87,Foggy,Lane 1,Active
V20250730000011,D03251,VEH006163,LOC01717,C038,2025-07-30,21:05:15,No Seatbelt,500,Medium,No,31,Male,International,1,Bike,Hero,7,Electric,Highway Junction,Meerut,Uttar Pradesh,Local Street,28.998062,77.696336,19,Cloudy,Lane 2,Dispatched
V20241203000012,D00946,VEH000530,LOC01598,C041,2024-12-03,18:27:02,Mobile Usage,4100,High,No,37,Male,No License,2,Car,Toyota,8,Petrol,City Center,Jabalpur,Madhya Pradesh,National Highway,23.176128,79.981743,72,Clear,Multiple Lanes,Active
V20250420000013,D01316,VEH000456,LOC02504,C110,2025-04-20,14:49:23,Drunk Driving,3400,Critical,No,51,Female,Permanent,1,Car,Honda,16,Petrol,Clock Tower Area,Guntur,Andhra Pradesh,Expressway,16.312833,80.423539,104,Clear,Lane 3,Notified
V20250915000014,D04732,VEH004231,LOC02669,C061,2025-09-15,12:52:20,No Helmet,700,Medium,No,28,Male,No License,0,Car,Hyundai,3,Diesel,Clock Tower Area,Amravati,Maharashtra,State Highway,20.928803,77.75703,72,Rainy,Lane 2,Dispatched
V20240111000015,D04762,VEH004945,LOC02288,C081,2024-01-11,12:47:19,Drunk Driving,7800,High,No,37,Male,No License,0,Bike,Suzuki,18,Petrol,Railway Crossing,Agra Rural,Uttar Pradesh,City Road,27.241676,78.059835,25,Clear,Lane 3,Notified
V20241115000016,D03343,VEH003213,LOC00393,C099,2024-11-15,09:03:38,Signal Jumping,600,Medium,No,27,Male,Permanent,2,Bike,Suzuki,4,Electric,Flyover Junction,Kozhikode,Kerala,National Highway,11.2514,75.785609,85,Rainy,Lane 1,Under Review
V20240408000017,D00087,VEH001594,LOC01453,C079,2024-04-08,16:50:05,No Helmet,600,Medium,No,26,Male,Permanent,2,Bus,BharatBenz,0,CNG,Ring Road,Alwar,Rajasthan,National Highway,27.563298,76.633838,93,Clear,Lane 1,Under Review
V20250715000018,D02659,VEH002910,LOC00946,C087,2025-07-15,19:31:40,No Seatbelt,700,Low,No,25,Female,Permanent,0,Scooter,Suzuki,9,Electric,Flyover Junction,Mathura,Uttar Pradesh,National Highway,27.477637,77.662087,72,Clear,Lane 3,Notified
V20250111000019,D02072,VEH001268,LOC02809,C019,2025-01-11,08:09:38,No Seatbelt,500,Low,No,18,Male,Permanent,1,Scooter,TVS,2,Petrol,Highway Junction,Madurai,Tamil Nadu,National Highway,9.934238,78.114163,86,Cloudy,Lane 1,Dispatched
V20240102000020,D03935,VEH004415,LOC00657,C071,2024-01-02,10:47:01,Drunk Driving,8100,Critical,No,47,Male,Permanent,2,Scooter,TVS,2,Petrol,Station Area,Tirunelveli,Tamil Nadu,City Road,8.717798,77.742369,30,Clear,Multiple Lanes,Notified
V20240122000021,D01742,VEH003373,LOC02135,C109,2024-01-22,17:36:12,Triple Riding,1000,Medium,No,32,Male,Permanent,0,Bike,TVS,3,Petrol,Main Road,Tirupati,Andhra Pradesh,State Highway,13.642578,79.409636,61,Clear,Lane 2,Under Review
V20250312000022,D03725,VEH000514,LOC00826,C038,2025-03-12,16:23:53,Overspeeding,1300,High,No,30,Male,Permanent,0,Bike,KTM,8,Petrol,Industrial Area,Meerut,Uttar Pradesh,National Highway,28.984401,77.711818,91,Clear,Shoulder,Active
V20251115000023,D02247,VEH004085,LOC01438,C064,2025-11-15,21:38:49,Wrong Side Driving,700,High,No,23,Female,Permanent,0,Car,Kia,2,Petrol,Market Area,Dhule,Maharashtra,State Highway,20.916034,74.784366,70,Clear,Multiple Lanes,Notified
V20250422000024,D02429,VEH001950,LOC02206,C045,2025-04-22,17:58:49,No Seatbelt,1000,Medium,No,30,Male,No License,1,Scooter,Suzuki,2,Petrol,Station Area,Bhubaneswar,Odisha,Local Street,20.285883,85.832034,38,Clear,Lane 1,Active
V20241122000025,D01544,VEH006887,LOC01787,C076,2024-11-22,18:27:49,Overspeeding,1700,Medium,No,40,Male,Permanent,0,Bike,TVS,4,Petrol,Bypass Road,Gandhinagar,Gujarat,Local Street,23.201585,72.645543,42,Clear,Multiple Lanes,Notified
V20250728000026,D04510,VEH000544,LOC02291,C055,2025-07-28,09:02:14,Drunk Driving,3500,High,No,22,Female,Permanent,2,Bike,KTM,11,Petrol,New Colony,Raipur,Chhattisgarh,Expressway,21.23731,81.625213,112,Clear,Lane 2,Dispatched
V20250305000027,D03674,VEH002421,LOC00973,C041,2025-03-05,15:01:04,Wrong Parking,200,Low,No,34,Female,Permanent,0,Auto Rickshaw,TVS,5,Petrol,New Colony,Jabalpur,Madhya Pradesh,National Highway,23.1784,79.973527,84,Clear,Lane 1,Dispatched
V20250530000028,D01829,VEH002109,LOC01491,C058,2025-05-30,08:18:48,Wrong Parking,400,Low,No,26,Female,Permanent,0,Auto Rickshaw,Piaggio,4,CNG,Ring Road,Vijayawada,Andhra Pradesh,City Road,16.503454,80.642114,25,Clear,Lane 1,Notified
V20241009000029,D02004,VEH000384,LOC01531,C079,2024-10-09,11:33:11,No License,2200,High,No,21,Male,No License,5,Bike,Honda,1,Petrol,Market Area,Alwar,Rajasthan,State Highway,27.543573,76.648848,57,Clear,Lane 1,Active
